name,pred,truth
../data/MRISeq/0628split/FLAIR_tra/0003596191_t2_tirm_tra_dark-fluid_3_20181127181125.nii.gz,1,1
../data/MRISeq/0628split/MRA_head/0002218231_tof_fi3d_we_tra(MRA)_3_20180120115646.nii.gz,2,2
../data/MRISeq/0628split/FLAIR_tra/0000247875_t2_tirm_tra_dark-fluid_8_20170921105918.nii.gz,1,1
../data/MRISeq/0628split/Other/0016804057_t2_me2d_tra_6_20160905090742_i00004.nii.gz,3,3
../data/MRISeq/0628split/FLAIR_tra/0016323857_t2_tirm_tra_dark-fluid_9_20190722101409.nii.gz,1,1
../data/MRISeq/0628split/FLAIR_tra/0000365531_t2_tirm_tra_dark-fluid_10_20170124111543.nii.gz,1,1
../data/MRISeq/0628split/MRA_head/0017921658_tof_fi3d_we_tra(MRA)_6_20170410113601.nii.gz,2,2
../data/MRISeq/0628split/T2_tra/0000478286_t2_tse_tra_fs_2_20190325112433.nii.gz,9,9
../data/MRISeq/0628split/T1_tra/0018503061_t1_se_tra_10_20170829110936.nii.gz,4,4
"../data/MRISeq/0628split/FLAIR_tra/0017671487_C8-AXIAL_T2_FLAIR,_20_slices_150185_20170206160951.nii.gz",1,1
../data/MRISeq/0628split/FLAIR_tra/0014817051_t2_tirm_tra_dark-fluid_10_20150108191852.nii.gz,1,1
../data/MRISeq/0628split/MRA_head/0019455971_tof_fi3d_we_tra(MRA)_4_20180420192612.nii.gz,2,2
../data/MRISeq/0628split/FLAIR_tra/0002379188_t2_tirm_tra_dark-fluid_8_20170802110655.nii.gz,1,1
../data/MRISeq/0628split/FLAIR_tra/0019468792_t2_tirm_tra_dark-fluid_10_20181119182420.nii.gz,1,1
../data/MRISeq/0628split/FLAIR_tra/0008923725_t2_tirm_tra_dark-fluid_20_20130308095028.nii.gz,1,1
../data/MRISeq/0628split/T1c_cor/0000070745_T1W_FFE_701_20100503104234.nii.gz,5,5
../data/MRISeq/0628split/T1_tra/0010062938_t1_se_tra_3_20130926080703.nii.gz,4,4
../data/MRISeq/0628split/T1_tra/0019760662_t1_tirm_tra_dark-fluid_7_20180917213307.nii.gz,4,4
../data/MRISeq/0628split/T2_tra/0019711190_t2_tse_tra_fs_2_20180612131913.nii.gz,9,9
"../data/MRISeq/0628split/T2_tra/0019135960_C2-AXIAL_T2_FS_HX,_20_slices_2_20180126161238.nii.gz",9,9
../data/MRISeq/0628split/T2_tra/0018451648_t2_tse_tra_fs_4_20190619092706.nii.gz,9,9
../data/MRISeq/0628split/T2_tra/0017475152_t2_tse_tra_320_2_20170804123757.nii.gz,9,9
../data/MRISeq/0628split/T2_tra/0013256561_t2_tse_tra_fs_2_20140530123903.nii.gz,9,9
../data/MRISeq/0628split/T2_tra/0016641135_t2_tse_tra_fs_2_20180717072424.nii.gz,9,9
../data/MRISeq/0628split/MRA_head/0019884826_tof_fi3d_we_tra(MRA)_3_20180802140623.nii.gz,2,2
../data/MRISeq/0628split/FLAIR_tra/0000070745_6_20190316083838.nii.gz,1,1
../data/MRISeq/0628split/MRA_head/0017049647_tof_fi3d_we_tra(MRA)_4_20160825183735.nii.gz,2,2
../data/MRISeq/0628split/T1c_tra/0016419479_t1_se_tra_fs_10_20210607104355.nii.gz,7,7
../data/MRISeq/0628split/MRA_head/0019795925_tof_fi3d_we_tra(MRA)_4_20180704101225.nii.gz,2,2
../data/MRISeq/0628split/MRA_head/0001378486_tof_fi3d_we_tra(MRA)_4_20171025091629.nii.gz,2,2
../data/MRISeq/0628split/MRA_head/0011017841_tof_fi3d_we_tra(MRA)_4_20160122164828.nii.gz,2,2
../data/MRISeq/0628split/T2_tra/0017524398_Ax_fs_T2_2_20190122094659.nii.gz,9,9
../data/MRISeq/0628split/T2_tra/0000049866_t2_tse_tra_fs_2_20151020173550.nii.gz,9,9
../data/MRISeq/0628split/T1_tra/0007860477_t1_se_tra_7_20140722105823.nii.gz,4,4
../data/MRISeq/0628split/T2_tra/0017647946_t2_tse_tra_fs_2_20170124094919.nii.gz,9,9
../data/MRISeq/0628split/T1c_cor/0014458943_8_20141013150812.nii.gz,5,5
../data/MRISeq/0628split/MRA_head/0008787652_tof_fi3d_we_tra(MRA)_4_20130131160543.nii.gz,2,2
"../data/MRISeq/0628split/T1c_tra/0018285548_C7-AXIAL_T1_FS_+C,_20_slices_7_20180622130127.nii.gz",7,7
../data/MRISeq/0628split/FLAIR_tra/0011869759_t2_tirm_tra_dark-fluid_11_20170926193636.nii.gz,1,1
../data/MRISeq/0628split/T2_tra/0007217696_4_20190711120330.nii.gz,9,9
../data/MRISeq/0628split/Other/0000094191_t1_se_tra_4_20150914091147.nii.gz,3,3
